timestamp,value
2021-07-07T14:33:59,3.45
2021-07-07T14:51:01,4.3
2021-07-07T15:08:05,3.25
2021-07-07T15:25:03,4.0
2021-07-07T15:42:08,3.3
2021-07-07T15:56:50,3.1
2021-07-07T16:11:29,4.45
2021-07-07T16:26:12,3.25
2021-07-07T16:40:49,3.8
2021-07-07T16:55:29,4.3
2021-07-07T17:10:10,3.6
2021-07-07T17:24:52,3.35
2021-07-07T17:39:30,4.65
2021-07-07T17:54:13,3.35
2021-07-07T18:08:49,3.4
2021-07-07T18:23:31,4.45
2021-07-07T18:38:14,3.25
2021-07-07T18:52:48,6.65
2021-07-07T19:07:17,9.1
2021-07-07T19:21:50,3.8
2021-07-07T19:36:30,4.2
2021-07-07T19:51:11,3.9
2021-07-07T20:05:53,3.15
2021-07-07T20:20:31,3.85
2021-07-07T20:35:12,3.8
2021-07-07T20:49:55,2.95
2021-07-07T21:04:32,4.05
2021-07-07T21:19:14,3.9
2021-07-07T21:33:56,3.2
2021-07-07T21:48:33,3.9
2021-07-07T22:03:14,4.0
2021-07-07T22:17:56,3.45
2021-07-07T22:32:35,3.3
2021-07-07T22:47:13,4.35
2021-07-07T23:01:56,3.65
2021-07-07T23:16:36,3.1
2021-07-07T23:31:15,4.45
2021-07-07T23:45:58,3.75
2021-07-08T00:00:38,3.35
2021-07-08T00:15:15,3.9
2021-07-08T00:29:55,4.2
2021-07-08T00:44:38,3.2
2021-07-08T00:59:14,5.65
2021-07-08T01:13:47,4.65
2021-07-08T01:28:27,4.6
2021-07-08T01:43:10,3.4
2021-07-08T01:57:49,3.35
2021-07-08T02:12:26,4.0
2021-07-08T02:27:07,4.0
2021-07-08T02:41:50,3.3
2021-07-08T02:56:29,3.3
2021-07-08T03:11:06,4.5
2021-07-08T03:25:50,3.6
2021-07-08T03:40:29,3.2
2021-07-08T03:55:08,3.95
2021-07-08T04:09:47,3.95
2021-07-08T04:24:29,3.2
2021-07-08T04:39:08,3.4
2021-07-08T04:53:46,4.6
2021-07-08T05:08:29,3.55
2021-07-08T05:23:08,3.15
2021-07-08T05:37:45,3.9
2021-07-08T05:52:27,3.95
2021-07-08T06:07:10,3.2
2021-07-08T06:21:50,3.2
2021-07-08T06:36:28,4.5
2021-07-08T06:51:02,7.3
2021-07-08T07:05:28,9.7
2021-07-08T07:19:59,4.2
2021-07-08T07:34:41,3.25
2021-07-08T07:49:18,4.2
2021-07-08T08:03:59,4.0
2021-07-08T08:18:43,3.2
2021-07-08T08:33:23,3.15
2021-07-08T08:48:03,3.5
2021-07-08T09:02:45,3.05
2021-07-08T09:17:23,4.45
